orig_frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
2,2,10,553.7234,410.5803,597.9803,569.10846,575.8518,489.84436,0.5203319787979126
2,2,11,592.40204,846.5198,676.8887,1080.0,634.6454,963.2599,0.578925609588623
2,2,12,834.0826,734.692,923.21246,1011.3191,878.6475,873.00555,0.7478708028793335
2,2,13,950.2833,404.71924,1008.8936,551.9209,979.5885,478.32007,0.5461366176605225
2,2,14,696.81775,395.2525,737.7726,532.3133,717.29517,463.7829,0.3996029496192932
2,2,15,449.41586,842.1184,539.31464,1079.3741,494.36523,960.7463,0.3929038941860199
2,2,16,624.2635,466.18198,679.0273,608.5977,651.6454,537.38983,0.4806165397167206
2,2,17,303.21393,666.2215,373.9957,928.03503,338.6048,797.1283,0.38989174365997314
2,2,18,208.26753,581.52563,272.49078,785.6849,240.37915,683.6052,0.369101881980896
3,3,1,1089.5812,759.8625,1173.6987,1015.4605,1131.6399,887.6615,0.8135669827461243
3,3,2,992.7281,997.28613,1084.49,1079.3549,1038.609,1038.3206,0.6143934726715088
3,3,3,1.8844471,829.0441,96.91933,1079.7274,49.401886,954.38574,0.5695272088050842
3,3,4,89.90701,859.1267,160.42143,1079.4298,125.16422,969.27826,0.6414731740951538
3,3,5,1075.3746,583.3625,1161.6646,796.59064,1118.5195,689.97656,0.6676759719848633
3,3,6,828.3824,499.6227,878.5829,681.6935,853.48267,590.6581,0.6248659491539001
3,3,7,1211.903,940.0484,1305.2444,1079.7346,1258.5737,1009.8915,0.5352767109870911
3,3,8,469.94485,561.4081,527.78784,749.9428,498.86633,655.6754,0.5860124826431274
3,3,9,554.58563,709.9393,638.89655,988.4924,596.7411,849.2158,0.625850260257721
3,3,10,555.14795,412.53,598.59174,570.05023,576.8699,491.2901,0.48617956042289734
3,3,11,591.8469,850.53284,675.75885,1079.3313,633.80286,964.93207,0.6506049633026123
3,3,12,836.14026,740.6923,923.3552,1016.83344,879.74774,878.7629,0.7483835220336914
3,3,13,950.2833,404.71924,1008.8936,551.9209,979.5885,478.32007,0.5461366176605225
3,3,14,696.6318,396.4276,738.8789,532.34216,717.7554,464.3849,0.4069092869758606
3,3,15,449.41586,842.1184,539.31464,1079.3741,494.36523,960.7463,0.3929038941860199
