start_frame,end_frame,pred,p_Normal,p_Light_Panic,p_Fight,p_Violent_Group,p_Stampede,risk_score,risk_ema,alert
240,271,Fight,0.003475021105259657,0.0035630445927381516,0.983877420425415,0.008941737934947014,0.00014273014676291496,1.9987139701843262,1.977091161516206,0
256,287,Fight,0.007312437053769827,0.004680249840021133,0.9590652585029602,0.028835909441113472,0.00010613199265208095,2.0097432136535645,1.9868867771574132,0
272,303,Fight,0.008652918972074986,0.003945940639823675,0.9651722311973572,0.022084247320890427,0.00014470802852883935,2.001121997833252,1.9911573433601646,0
288,319,Fight,0.0047485497780144215,0.0016373522812500596,0.9860275983810425,0.007531080394983292,5.543014776776545e-05,1.9965075254440308,1.9927623979853242,0
304,335,Fight,0.004095023963600397,0.0008397637284360826,0.98720782995224,0.007809474132955074,4.795104905497283e-05,1.998875617980957,1.994596363984014,0
320,351,Fight,0.004058179445564747,0.0013260634150356054,0.9842287302017212,0.01033157017081976,5.5494110711151734e-05,2.001000165939331,1.9965175045706092,0
336,367,Fight,0.005037751514464617,0.0017522930866107345,0.9741297364234924,0.019000401720404625,7.99228873802349e-05,2.0073325634002686,1.9997620222195067,0
352,383,Fight,0.006508813239634037,0.002752171363681555,0.9652361869812012,0.02529136650264263,0.00021139305317774415,2.009944438934326,2.0028167472339526,0
368,399,Fight,0.004640160594135523,0.002365737222135067,0.9749374985694885,0.017936108633875847,0.00012055896513629705,2.006531238555908,2.003931094630539,0
384,415,Fight,0.004405089654028416,0.004594947677105665,0.9647595286369324,0.02608691342175007,0.0001535251794848591,2.012988805770874,2.0066484079726394,0
400,431,Violent_Group,0.0237880889326334,0.059240080416202545,0.43336620926856995,0.48246264457702637,0.001142950844950974,2.37793231010437,2.1180335786121587,0
416,447,Violent_Group,0.0071749333292245865,0.0061307367868721485,0.21188442409038544,0.7741698026657104,0.000640174257569015,2.754969596862793,2.3091143840873487,0
432,463,Violent_Group,0.0056980811059474945,0.007964024320244789,0.22014017403125763,0.7656241059303284,0.0005736388848163188,2.7474112510681152,2.4406034441815785,0
448,479,Violent_Group,0.013168105855584145,0.014537885785102844,0.15379583835601807,0.8177390694618225,0.0007590986788272858,2.778383255004883,2.5419373874285696,1
464,495,Violent_Group,0.007578973192721605,0.013393059372901917,0.18531209230422974,0.7935020327568054,0.0002139294520020485,2.765378952026367,2.6089698568079087,1
480,511,Violent_Group,0.014688500203192234,0.014525644481182098,0.28928008675575256,0.6810803413391113,0.0004253876395523548,2.638028383255005,2.6176874147420373,1
496,527,Violent_Group,0.0076516009867191315,0.008580212481319904,0.1258406937122345,0.8576242327690125,0.00030322768725454807,2.8343470096588135,2.68268529321707,1
512,543,Violent_Group,0.00608471967279911,0.005991301964968443,0.15150295197963715,0.8361470103263855,0.0002741279895417392,2.8185346126556396,2.7234400890486405,1
528,559,Violent_Group,0.02960120514035225,0.01550934836268425,0.39739155769348145,0.55663001537323,0.0008679142920300364,2.483654260635376,2.651504340524661,1
544,575,Fight,0.01687821000814438,0.028591806069016457,0.5495508313179016,0.4044201076030731,0.0005590416258201003,2.3431899547576904,2.5590100247945697,1
560,591,Fight,0.05351892486214638,0.01531809289008379,0.8017549514770508,0.12874217331409454,0.0006658765487372875,2.007718086242676,2.3936224432290016,0
576,607,Fight,0.07634098827838898,0.01826428435742855,0.7657294273376465,0.13902603089809418,0.0006392494542524219,1.969358205795288,2.2663431719988876,0
592,623,Fight,0.11574944108724594,0.01579573005437851,0.7653388977050781,0.10124561190605164,0.0018702313536778092,1.8576912879943848,2.1437476067975365,0
608,639,Fight,0.23875464498996735,0.057547565549612045,0.6103513240814209,0.09076937288045883,0.0025771278887987137,1.5608668327331543,1.9688833745782217,0
624,655,Fight,0.3510551154613495,0.15638382732868195,0.4114285409450531,0.06889848411083221,0.012234030291438103,1.2348724603652954,1.7486801003143437,0
640,671,Normal,0.580136775970459,0.2107791304588318,0.12885522842407227,0.07313686609268188,0.00709204375743866,0.7162683606147766,1.4389565784044736,0
656,687,Fight,0.21988996863365173,0.0470300130546093,0.6057847738265991,0.12284298986196518,0.00445227324962616,1.644937515258789,1.500750859460768,0
